vessel_nz,vessel_name,vessel_number,Qmean,Pmean,Pmean/Qmean,R1,R2,Qmean/Pmean
posterior_intercostal_T1_R,A_posterior_intercostal_T3_R_2927,2927,0.08608027635116293,130913.14586930547,0.0,nan,nan,1520826.273085459
posterior_intercostal_T1_L,A_posterior_intercostal_T3_L_1594,1594,0.08662227502078709,130931.31358605722,0.0,nan,nan,1511520.1436886427
posterior_intercostal_T2_R,A_posterior_intercostal_T4_R_2922,2922,0.07928032468958636,130952.67053498408,0.0,nan,nan,1651767.5860652092
posterior_intercostal_T2_L,A_posterior_intercostal_T4_L_1589,1589,0.08832847974428586,130954.88611631344,0.0,nan,nan,1482589.607513144
left_gastric_T3_C,A_left_gastric_C_3816,3816,0.10065577744463908,130650.19187658458,0.0,nan,nan,1297989.9931570496
dorsal_pancreatic_T1_C,A_dorsal_pancreatic_C_2645,2645,0.4212598322235413,129249.7667163632,0.0,nan,nan,306817.2107322515
splenic_T2_C,A_splenic_C_3796,3796,5.407222188093154,129997.6763152209,0.0,nan,nan,24041.489658309067
hepatic_artery_proper_left_branch_C,A_hepatic_artery_proper_left_branch_ORG11_T2_C_2464,2464,2.8156125634955327,126258.28428069313,0.0,nan,nan,44842.20802166962
hepatic_artery_proper_right_branch_C,A_hepatic_artery_proper_right_branch_ORG11_T1_C_2469,2469,4.624102829333647,125804.98018830238,0.0,nan,nan,27206.354363540704
middle_colic_T8_C,A_middle_colic_C_1094,1094,0.1762477753100325,130539.71663885274,0.0,nan,nan,740660.2234225312
jejunal_3_T10_C,A_jejunal_3_C_1028,1028,0.7942222354442706,127827.70862033483,0.0,nan,nan,160947.02831988933
jejunal_6_T11_C,A_jejunal_6_C_897,897,0.4578233020134687,128378.9815147796,0.0,nan,nan,280411.63686990057
ileocolic_T9_C,A_ileocolic_C_1165,1165,1.8588277607657318,129828.9983647398,0.0,nan,nan,69844.5553187013
ileal_4_T12_C,A_ileal_4_C_916,916,0.22457387346294577,129289.65352422837,0.0,nan,nan,575711.0189648169
ileal_6_T13_C,A_ileal_6_C_924,924,0.20607432937303036,129431.83569488408,0.0,nan,nan,628083.2556324372
superior_mesenteric_T4_C,A_superior_mesenteric_C_867,867,2.3703726897810995,129753.7442360831,0.0,nan,nan,54739.80728661942
inferior_segmental_T5_L,A_inferior_segmental_L_2018,2018,0.2662815363366062,130491.85897632537,0.0,nan,nan,490052.2235660033
superior_segmental_T4_L,A_superior_segmental_L_2086,2086,0.46195525985195923,130490.60299951493,0.0,nan,nan,282474.5475164255
renal_posterior_branch_T3_L,A_renal_posterior_branch_L_2004,2004,7.610845577980342,126192.40780767745,0.0,nan,nan,16580.602840343607
superior_segmental_T4_R,A_superior_segmental_R_3378,3378,0.39634830923891345,130381.12899428656,0.0,nan,nan,328955.93586522545
inferior_segmental_T5_R,A_inferior_segmental_R_3427,3427,0.3627667074310155,130379.1628156995,0.0,nan,nan,359402.22778159066
renal_posterior_branch_T3_R,A_renal_posterior_branch_R_3412,3412,7.6415861886744025,126147.0920486277,0.0,nan,nan,16507.97215839695
inferior_mesenteric_T5_C,A_inferior_mesenteric_C_1032,1032,0.7429701889150517,130472.9344116572,0.0,nan,nan,175609.91861892183
internal_iliac_T1_R,A_internal_iliac_R_3677,3677,2.831302179089007,130447.15251097562,0.0,nan,nan,46073.20033672562
profundus_T2_R,A_profunda_femoris_R_3760,3760,3.4201098544495774,129393.09601951194,0.0,nan,nan,37833.02336068854
anterior_tibial_T3_R,A_anterior_tibial_R_3510,3510,0.4195029329934128,128325.28330778766,0.0,nan,nan,305898.4174248972
posterior_tibial_T4_R,A_posterior_tibial_R_3543,3543,0.6198101098427912,128203.32903257823,0.0,nan,nan,206842.9136547898
internal_iliac_T1_L,A_internal_iliac_L_2344,2344,2.834703569083624,130449.91094779952,0.0,nan,nan,46018.88972467415
profundus_T2_L,A_profunda_femoris_L_2375,2375,3.4371991342315305,129381.78838980698,0.0,nan,nan,37641.63300906144
anterior_tibial_T3_L,A_anterior_tibial_L_2175,2175,0.5115643764102429,128573.93934595199,0.0,nan,nan,251334.8178154682
posterior_tibial_T4_L,A_posterior_tibial_L_2186,2186,0.5440244478873836,128380.31308943871,0.0,nan,nan,235982.61730328383
posterior_interosseous_T3_R,A_posterior_interosseuous_R_3204,3204,0.13694254469723108,124749.15216673503,0.0,nan,nan,910959.7929740925
ulnar_T2_R,A_ulnar_R_3180,3180,0.7756081306129678,125513.92535281513,0.0,nan,nan,161826.46931978487
radial_T1_R,A_radial_R_3157,3157,0.6362522405188906,125839.85501008303,0.0,nan,nan,197782.9656166795
posterior_interosseous_T3_L,A_posterior_interosseuous_L_1861,1861,0.1174872430977903,125399.29060758054,0.0,nan,nan,1067343.8860353942
ulnar_T2_L,A_ulnar_L_1843,1843,0.7068265137216293,126041.19815036365,0.0,nan,nan,178319.8503501563
radial_T1_L,A_radial_L_1828,1828,0.741035573549027,126177.76818873156,0.0,nan,nan,170272.21457727172
external_carotid_T2_R,A_external_carotid_R_42,42,2.7425987718487663,130572.95059282338,0.0,nan,nan,47609.206251049654
external_carotid_T2_L,A_external_carotid_L_408,408,2.7736414646436285,130485.46273117165,0.0,nan,nan,47044.81974130607
lateral_occipital_anterior_temporal_branch_T46_L,T_lateral_occipital_anterior_tempotal_branch_ORG01_T46_L_1415,1415,0.4195063416276149,117263.10076179622,0.0,61721.4,246886.0,279526.40788893646
