variable_name,units,value,data_reference
rho,Js2_per_m5,heart,1050
T,second,heart,1
q_ra_0,m3,heart,4E-06
q_rv_0,m3,heart,1E-05
q_la_0,m3,heart,4E-06
q_lv_0,m3,heart,5E-06
T_ac,second,heart,0.17
T_ar,second,heart,0.17
t_astart,second,heart,0.8
T_vc,second,heart,0.34
T_vr,second,heart,0.15
t_vstart,second,heart,0
E_ra_A,J_per_m6,heart,7998000
E_ra_B,J_per_m6,heart,9331000
E_rv_A,J_per_m6,heart,73315000
E_rv_B,J_per_m6,heart,6665000
E_la_A,J_per_m6,heart,9331000
E_la_B,J_per_m6,heart,11997000
E_lv_A,J_per_m6,heart,366575000
E_lv_B,J_per_m6,heart,10664000
K_vo_trv,m3_per_Js,heart,0.3
K_vo_puv,m3_per_Js,heart,0.2
K_vo_miv,m3_per_Js,heart,0.3
K_vo_aov,m3_per_Js,heart,0.12
K_vc_trv,m3_per_Js,heart,0.4
K_vc_puv,m3_per_Js,heart,0.2
K_vc_miv,m3_per_Js,heart,0.4
K_vc_aov,m3_per_Js,heart,0.12
M_rg_trv,dimensionless,heart,0
M_rg_puv,dimensionless,heart,0
M_rg_miv,dimensionless,heart,0
M_rg_aov,dimensionless,heart,0
M_st_trv,dimensionless,heart,1
M_st_puv,dimensionless,heart,1
M_st_miv,dimensionless,heart,1
M_st_aov,dimensionless,heart,1
l_eff,metre,heart,0.01
A_nn_trv,m2,heart,0.0008
A_nn_puv,m2,heart,0.00071
A_nn_miv,m2,heart,0.00077
A_nn_aov,m2,heart,0.00068
E_ascending_aorta_A,J_per_m3,systemic,400000
l_ascending_aorta_A,metre,systemic,0.0153234
r_ascending_aorta_A,metre,systemic,0.015642
theta_ascending_aorta_A,dimensionless,systemic,0
beta_g,dimensionless,systemic,0
mu,Js_per_m3,systemic,0.004
g,m_per_s2,systemic,9.81
a_vessel,dimensionless,systemic,0.2802
b_vessel,per_m,systemic,-505.3
c_vessel,dimensionless,systemic,0.1324
d_vessel,per_m,systemic,-11.14
E_ascending_aorta_B,J_per_m3,systemic,400000
l_ascending_aorta_B,metre,systemic,0.014796
r_ascending_aorta_B,metre,systemic,0.01508
theta_ascending_aorta_B,dimensionless,systemic,0
E_ascending_aorta_C,J_per_m3,systemic,400000
l_ascending_aorta_C,metre,systemic,0.014796
r_ascending_aorta_C,metre,systemic,0.0145305
theta_ascending_aorta_C,dimensionless,systemic,0
E_ascending_aorta_D,J_per_m3,systemic,400000
l_ascending_aorta_D,metre,systemic,0.014796
r_ascending_aorta_D,metre,systemic,0.013914
theta_ascending_aorta_D,dimensionless,systemic,0
E_aortic_arch_C2,J_per_m3,systemic,400000
l_aortic_arch_C2,metre,systemic,0.014796
r_aortic_arch_C2,metre,systemic,0.0133364
theta_aortic_arch_C2,dimensionless,systemic,90
E_brachiocephalic_trunk_C4,J_per_m3,systemic,400000
l_brachiocephalic_trunk_C4,metre,systemic,0.0473822
r_brachiocephalic_trunk_C4,metre,systemic,0.00641887
theta_brachiocephalic_trunk_C4,dimensionless,systemic,0
E_aortic_arch_C46,J_per_m3,systemic,400000
l_aortic_arch_C46,metre,systemic,0.00960849
r_aortic_arch_C46,metre,systemic,0.0127671
theta_aortic_arch_C46,dimensionless,systemic,90
