variable_name,units,value,data_reference
rho,Js2_per_m5,known,1050
T,second,literature,0.4
q_ra_0,m3,literature,0.00000024
q_rv_0,m3,literature,0.0000008
q_la_0,m3,literature,0.00000016
q_lv_0,m3,literature,0.00000053
T_ac,second,literature,0.07
T_ar,second,literature,0.07
t_astart,second,guessed,0.32
T_vc,second,literature,0.14
T_vr,second,literature,0.06
t_vstart,second,copied_simple_physiological,0
E_lv_A,J_per_m6,to_be_identified,103000000
E_lv_B,J_per_m6,to_be_identified,9330000
K_vo_trv,m3_per_Js,try_ideal_valve,2
K_vo_puv,m3_per_Js,try_ideal_valve,2
K_vo_miv,m3_per_Js,try_ideal_valve,2
K_vo_aov,m3_per_Js,try_ideal_valve,2
K_vc_trv,m3_per_Js,try_ideal_valve,2
K_vc_puv,m3_per_Js,try_ideal_valve,2
K_vc_miv,m3_per_Js,try_ideal_valve,2
K_vc_aov,m3_per_Js,try_ideal_valve,2
M_rg_trv,dimensionless,Mynard_2012,0
M_rg_puv,dimensionless,Mynard_2012,0
M_rg_miv,dimensionless,Mynard_2012,0
M_rg_aov,dimensionless,Mynard_2012,0
M_st_trv,dimensionless,Mynard_2012,1
M_st_puv,dimensionless,Mynard_2012,1
M_st_miv,dimensionless,Mynard_2012,1
M_st_aov,dimensionless,Mynard_2012,1
l_eff,metre,guessed,0.001
A_nn_trv,m2,"Abushaban2018, doubled",2.80E-04
A_nn_puv,m2,"Abushaban2018, doubled",8.80E-05
A_nn_miv,m2,"Abushaban2018, doubled",3.16E-04
A_nn_aov,m2,"Abushaban2018, doubled",9.46E-05
R_aortic_root,Js_per_m6,defined_by_user,1.00E+03
C_aortic_root,m6_per_J,Mynard2011,4.00E-03
I_aortic_root,Js2_per_m6,Cantinotti2014,1.0E+4
E_ascending_aorta,J_per_m3,Meeting_23Jun2022,4.00E+05
l_ascending_aorta,metre,Mynard2011,9.00E-03
r_ascending_aorta,metre,Cantinotti2014,4.65E-03
theta_ascending_aorta,dimensionless,defined_by_user,0.00E+00
beta_g,dimensionless,user_defined,0.0
mu,Js_per_m3,known,0.004
g,m_per_s2,known,9.81
a_vessel,dimensionless,TODO_reference,0.2802
b_vessel,per_m,TODO_reference,-505.3
c_vessel,dimensionless,TODO_reference,0.1324
d_vessel,per_m,TODO_reference,-11.14
E_brachiocephalic,J_per_m3,Meeting_23Jun2022,4.00E+05
l_brachiocephalic,metre,Mynard2011,1.20E-02
r_brachiocephalic,metre,Machii1997,2.30E-03
theta_brachiocephalic,dimensionless,defined_by_user,0.00E+00
E_subclavian_R,J_per_m3,Meeting_23Jun2022,4.00E+05
l_subclavian_R,metre,Mynard2011,3.90E-02
r_subclavian_R,metre,Machii1997,1.80E-03
theta_subclavian_R,dimensionless,defined_by_user,0.00E+00
E_common_carotid_R,J_per_m3,Meeting_23Jun2022,4.00E+05
l_common_carotid_R,metre,Mynard2011,6.30E-02
r_common_carotid_R,metre,Machii1997,1.75E-03
theta_common_carotid_R,dimensionless,defined_by_user,0.00E+00
E_aortic_arch_I,J_per_m3,Meeting_23Jun2022,4.00E+05
l_aortic_arch_I,metre,Mynard2011,4.00E-03
r_aortic_arch_I,metre,Cantinotti2014,3.63E-03
theta_aortic_arch_I,dimensionless,defined_by_user,0.00E+00
E_common_carotid_L,J_per_m3,Meeting_23Jun2022,4.00E+05
l_common_carotid_L,metre,Mynard2011,7.50E-02
r_common_carotid_L,metre,Machii1997,1.70E-03
theta_common_carotid_L,dimensionless,defined_by_user,0.00E+00
E_aortic_arch_II,J_per_m3,Meeting_23Jun2022,4.00E+05
l_aortic_arch_II,metre,Mynard2011,8.00E-03
r_aortic_arch_II,metre,Cantinotti2014,3.05E-03
theta_aortic_arch_II,dimensionless,defined_by_user,0.00E+00
E_subclavian_L,J_per_m3,Meeting_23Jun2022,4.00E+05
l_subclavian_L,metre,Mynard2011,3.90E-02
r_subclavian_L,metre,Machii1997,1.70E-03
theta_subclavian_L,dimensionless,defined_by_user,0.00E+00
E_descending_aorta,J_per_m3,Meeting_23Jun2022,4.00E+05
l_descending_aorta,metre,estimated,5.60E-02
r_descending_aorta,metre,Cantinotti2014,2.96E-03
theta_descending_aorta,dimensionless,defined_by_user,0.00E+00
E_abdominal_aorta,J_per_m3,Meeting_23Jun2022,4.00E+05
l_abdominal_aorta,metre,estimated,6.90E-02
