variable_name,units,comp_env,value,data_reference
C_par,m6_per_J,pulmonary,0.0309077e-6,to_find_reference
C_pvn,m6_per_J,pulmonary,0.60015e-6,to_find_reference
R_par,Js_per_m6,pulmonary,10.664e+6,to_find_reference
R_pvn,Js_per_m6,pulmonary,1.333e+6,to_find_reference
I_par,Js2_per_m6,pulmonary,1.0e-6,to_find_reference
I_pvn,Js2_per_m6,pulmonary,1.0e-6,to_find_reference
T,second,heart,1.0,defined_by_user
t_ac,dimensionless,heart,0.80,to_find_reference
t_ar,dimensionless,heart,0.97,to_find_reference
T_ac,dimensionless,heart,0.17,to_find_reference
T_ar,dimensionless,heart,0.17,to_find_reference
T_vc,dimensionless,heart,0.34,to_find_reference
T_vr,dimensionless,heart,0.15,to_find_reference
CQ_trv,UnitValve,heart,34.6427e-6,to_find_reference
CQ_puv,UnitValve,heart,30.3124e-6,to_find_reference
CQ_miv,UnitValve,heart,34.6427e-6,to_find_reference
CQ_aov,UnitValve,heart,30.3124e-6,to_find_reference
E_ra_A,J_per_m6,heart,7.998e+6,to_find_reference
E_ra_B,J_per_m6,heart,9.331e+6,to_find_reference
E_rv_A,J_per_m6,heart,73.315e+6,to_find_reference
E_rv_B,J_per_m6,heart,6.665e+6,to_find_reference
E_la_A,J_per_m6,heart,9.331e+6,to_find_reference
E_la_B,J_per_m6,heart,11.997e+6,to_find_reference
E_lv_A,J_per_m6,heart,366.575e+6,to_find_reference
E_lv_B,J_per_m6,heart,10.664e+6,to_find_reference
q_ra_0,m3,heart,4.0e-6,to_find_reference
q_rv_0,m3,heart,10.0e-6,to_find_reference
q_la_0,m3,heart,4.0e-6,to_find_reference
q_lv_0,m3,heart,5.0e-6,to_find_reference
r_ascending_aorta_A,metre,systemic,15.642e-03,to_find_reference
l_ascending_aorta_A,metre,systemic,15.3234e-03,to_find_reference
theta_ascending_aorta_A,dimensionless,systemic,0,to_find_reference
E_ascending_aorta_A,J_per_m3,systemic,0.4e+6,to_find_reference
r_ascending_aorta_B,metre,systemic,15.08e-03,to_find_reference
l_ascending_aorta_B,metre,systemic,14.796e-03,to_find_reference
theta_ascending_aorta_B,dimensionless,systemic,0,to_find_reference
E_ascending_aorta_B,J_per_m3,systemic,0.4e+6,to_find_reference
r_ascending_aorta_C,metre,systemic,14.5305e-03,to_find_reference
l_ascending_aorta_C,metre,systemic,14.796e-03,to_find_reference
theta_ascending_aorta_C,dimensionless,systemic,0,to_find_reference
E_ascending_aorta_C,J_per_m3,systemic,0.4e+6,to_find_reference
r_ascending_aorta_D,metre,systemic,13.914e-03,to_find_reference
l_ascending_aorta_D,metre,systemic,14.796e-03,to_find_reference
theta_ascending_aorta_D,dimensionless,systemic,0,to_find_reference
E_ascending_aorta_D,J_per_m3,systemic,0.4e+6,to_find_reference
r_aortic_arch_C2,metre,systemic,13.3364e-03,to_find_reference
l_aortic_arch_C2,metre,systemic,14.796e-03,to_find_reference
theta_aortic_arch_C2,dimensionless,systemic,90,to_find_reference
E_aortic_arch_C2,J_per_m3,systemic,0.4e+6,to_find_reference
r_aortic_arch_C46,metre,systemic,12.76710e-03,to_find_reference
l_aortic_arch_C46,metre,systemic,9.60849e-03,to_find_reference
theta_aortic_arch_C46,dimensionless,systemic,90,to_find_reference
E_aortic_arch_C46,J_per_m3,systemic,0.4e+6,to_find_reference
r_aortic_arch_C64,metre,systemic,12.42880e-03,to_find_reference
l_aortic_arch_C64,metre,systemic,6.97955e-03,to_find_reference
theta_aortic_arch_C64,dimensionless,systemic,90,to_find_reference
E_aortic_arch_C64,J_per_m3,systemic,0.4e+6,to_find_reference
r_brachiocephalic_trunk_C4,metre,systemic,6.41887e-03,to_find_reference
l_brachiocephalic_trunk_C4,metre,systemic,47.3822e-03,to_find_reference
theta_brachiocephalic_trunk_C4,dimensionless,systemic,0,to_find_reference
E_brachiocephalic_trunk_C4,J_per_m3,systemic,0.4e+6,to_find_reference
