variable_name,units,value,data_reference
rho,Js2_per_m5,known,1050
T,second,defined_by_user,1.0
q_ra_0,m3,Korakianitis_2006_Table_1,4.0e-6
q_rv_0,m3,Korakianitis_2006_Table_1,10.0e-6
q_la_0,m3,Korakianitis_2006_Table_1,4.0e-6
q_lv_0,m3,Korakianitis_2006_Table_1,5.0e-6
T_ac,second,Liang_2009_Table_2,0.17
T_ar,second,Liang_2009_Table_2,0.17
t_astart,second,Liang_2009_Table_2,0.80
T_vc,second,Liang_2009_Table_2,0.34
T_vr,second,Liang_2009_Table_2,0.15
t_vstart,second,Liang_2009_Table_2,0.0
E_ra_A,J_per_m6,Liang_2009_Table_2,7.998e+6
E_ra_B,J_per_m6,Liang_2009_Table_2,9.331e+6
E_rv_A,J_per_m6,Liang_2009_Table_2,73.315e+6
E_rv_B,J_per_m6,Liang_2009_Table_2,6.665e+6
E_la_A,J_per_m6,Liang_2009_Table_2,9.331e+6
E_la_B,J_per_m6,Liang_2009_Table_2,11.997e+6
E_lv_A,J_per_m6,Liang_2009_Table_2,366.575e+6
E_lv_B,J_per_m6,Liang_2009_Table_2,10.664e+6
K_vo_trv,m3_per_Js,Mynard_2012,0.3
K_vo_puv,m3_per_Js,Mynard_2012,0.2
K_vo_miv,m3_per_Js,Mynard_2012,0.3
K_vo_aov,m3_per_Js,Mynard_2012,0.12
K_vc_trv,m3_per_Js,Mynard_2012,0.4
K_vc_puv,m3_per_Js,Mynard_2012,0.2
K_vc_miv,m3_per_Js,Mynard_2012,0.4
K_vc_aov,m3_per_Js,Mynard_2012,0.12
M_rg_trv,dimensionless,Mynard_2012,0
M_rg_puv,dimensionless,Mynard_2012,0
M_rg_miv,dimensionless,Mynard_2012,0
M_rg_aov,dimensionless,Mynard_2012,0
M_st_trv,dimensionless,Mynard_2012,1
M_st_puv,dimensionless,Mynard_2012,1
M_st_miv,dimensionless,Mynard_2012,1
M_st_aov,dimensionless,Mynard_2012,1
l_eff,metre,to_be_identified,0.01
A_nn_trv,m2,Mynard_2012,0.0008
A_nn_puv,m2,Mynard_2012,0.00071
A_nn_miv,m2,Mynard_2012,0.00077
A_nn_aov,m2,Mynard_2012,0.00068
E_ascending_aorta_A,J_per_m3,ADAN_86,0.4e+6
l_ascending_aorta_A,metre,ADAN_86,15.3234e-03
r_ascending_aorta_A,metre,ADAN_86,15.642e-03
theta_ascending_aorta_A,dimensionless,defined_by_user,0
beta_g,dimensionless,user_defined,0.0
mu,Js_per_m3,known,0.004
g,m_per_s2,known,9.81
a_vessel,dimensionless,TODO_reference,0.2802
b_vessel,per_m,TODO_reference,-505.3
c_vessel,dimensionless,TODO_reference,0.1324
d_vessel,per_m,TODO_reference,-11.14
E_ascending_aorta_B,J_per_m3,ADAN_86,0.4e+6
l_ascending_aorta_B,metre,ADAN_86,14.796e-03
r_ascending_aorta_B,metre,ADAN_86,15.08e-03
theta_ascending_aorta_B,dimensionless,defined_by_user,0
E_ascending_aorta_C,J_per_m3,ADAN_86,0.4e+6
l_ascending_aorta_C,metre,ADAN_86,14.796e-03
r_ascending_aorta_C,metre,ADAN_86,14.5305e-03
theta_ascending_aorta_C,dimensionless,defined_by_user,0
E_ascending_aorta_D,J_per_m3,ADAN_86,0.4e+6
l_ascending_aorta_D,metre,ADAN_86,14.796e-03
r_ascending_aorta_D,metre,ADAN_86,13.914e-03
theta_ascending_aorta_D,dimensionless,defined_by_user,0
E_aortic_arch_C2,J_per_m3,ADAN_86,0.4e+6
l_aortic_arch_C2,metre,ADAN_86,14.796e-03
r_aortic_arch_C2,metre,ADAN_86,13.3364e-03
theta_aortic_arch_C2,dimensionless,defined_by_user,90
E_aortic_arch_C46,J_per_m3,ADAN_86,0.4e+6
l_aortic_arch_C46,metre,ADAN_86,9.60849e-03
r_aortic_arch_C46,metre,ADAN_86,12.76710e-03
theta_aortic_arch_C46,dimensionless,defined_by_user,90
E_aortic_arch_C64,J_per_m3,ADAN_86,0.4e+6
l_aortic_arch_C64,metre,ADAN_86,6.97955e-03
r_aortic_arch_C64,metre,ADAN_86,12.42880e-03
theta_aortic_arch_C64,dimensionless,defined_by_user,90
E_brachiocephalic_trunk_C4,J_per_m3,ADAN_86,0.4e+6
l_brachiocephalic_trunk_C4,metre,ADAN_86,47.3822e-03
r_brachiocephalic_trunk_C4,metre,ADAN_86,6.41887e-03
theta_brachiocephalic_trunk_C4,dimensionless,defined_by_user,0
E_common_carotid_L48_A,J_per_m3,ADAN_86,0.4e+6
l_common_carotid_L48_A,metre,ADAN_86,30.339e-03
r_common_carotid_L48_A,metre,ADAN_86,4.36635e-03
theta_common_carotid_L48_A,dimensionless,defined_by_user,0
E_common_carotid_R6_A,J_per_m3,ADAN_86,0.4e+6
l_common_carotid_R6_A,metre,ADAN_86,27.0844e-03
r_common_carotid_R6_A,metre,ADAN_86,4.43053e-03
theta_common_carotid_R6_A,dimensionless,defined_by_user,0
E_subclavian_L66,J_per_m3,ADAN_86,0.4e+6
l_subclavian_L66,metre,ADAN_86,49.4669e-03
r_subclavian_L66,metre,ADAN_86,3.99235e-03
theta_subclavian_L66,dimensionless,defined_by_user,90
E_subclavian_R28,J_per_m3,ADAN_86,0.4e+6
l_subclavian_R28,metre,ADAN_86,15.7469e-03
r_subclavian_R28,metre,ADAN_86,4.52027e-03
theta_subclavian_R28,dimensionless,defined_by_user,90
R_T_head_L,Js_per_m6,to_be_identified,0.2e+9
C_T_head_L,m6_per_J,to_be_identified,40e-12
R_T_head_R,Js_per_m6,to_be_identified,0.2e+9
C_T_head_R,m6_per_J,to_be_identified,40e-12
R_T_arm_L,Js_per_m6,28_10_2021_identified,8.1449e+09
C_T_arm_L,m6_per_J,to_be_identified,100e-12
R_T_arm_R,Js_per_m6,28_10_2021_identified,8.1449e+09
C_T_arm_R,m6_per_J,to_be_identified,100e-12
E_aortic_arch_C94,J_per_m3,ADAN_86,0.4e+6
