variable_name,units,value,data_reference
R_pvn,Js_per_m6,1.333e+6,Blanco_2013_Table_8
C_pvn,m6_per_J,0.60015e-8,to_be_identified
u_ext_pvn,J_per_m3,0.0,user_defined
I_pvn,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
q_us_0_pvn,m3,0.0,user_defined
Delta_q_us_pvn,m3,0.0,user_defined
R_par,Js_per_m6,10.664e+6,Blanco_2013_Table_8
C_par,m6_per_J,0.0309077e-8,to_be_identified
u_ext_par,J_per_m3,0.0,user_defined
I_par,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
rho,Js2_per_m5,1050,known
T,second,1.0395833333,biobeat_measurement
q_ra_0,m3,4.0e-6,Korakianitis_2006_Table_1
q_rv_0,m3,10.0e-6,Korakianitis_2006_Table_1
q_la_0,m3,4.0e-6,Korakianitis_2006_Table_1
q_lv_0,m3,5.0e-6,Korakianitis_2006_Table_1
T_ac,second,0.0739583333,biobeat_measurement
T_ar,second,0.0739583333,biobeat_measurement
t_astart,second,0.8916666667,biobeat_measurement
T_vc,second,0.2895833333,biobeat_measurement
T_vr,second,0.2079166667,biobeat_measurement
t_vstart,second,0.0,Liang_2009_Table_2
E_ra_A,J_per_m6,7.998e+6,Liang_2009_Table_2
E_ra_B,J_per_m6,9.331e+6,Liang_2009_Table_2
E_rv_A,J_per_m6,73.315e+6,Liang_2009_Table_2
E_rv_B,J_per_m6,6.665e+6,Liang_2009_Table_2
E_la_A,J_per_m6,9.331e+6,Liang_2009_Table_2
E_la_B,J_per_m6,11.997e+6,Liang_2009_Table_2
E_lv_A,J_per_m6,366.575e+6,Liang_2009_Table_2
E_lv_B,J_per_m6,10.664e+6,Liang_2009_Table_2
K_vo_trv,m3_per_Js,0.3,Mynard_2012
K_vo_puv,m3_per_Js,0.2,Mynard_2012
K_vo_miv,m3_per_Js,0.3,Mynard_2012
K_vo_aov,m3_per_Js,0.04,to_be_identified
K_vc_trv,m3_per_Js,0.4,Mynard_2012
K_vc_puv,m3_per_Js,0.2,Mynard_2012
K_vc_miv,m3_per_Js,0.4,Mynard_2012
K_vc_aov,m3_per_Js,0.04,to_be_identified
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.01,to_be_identified
A_nn_trv,m2,0.0009,to_be_identified
A_nn_puv,m2,0.0004,to_be_identified
A_nn_miv,m2,0.0006,to_be_identified
A_nn_aov,m2,0.000314,defined_by_user_from_BB128
r_ao,metre,0.0143944149,biobeat_measurement
r_lvot,metre,0.0122503863,biobeat_measurement
gamma,dimensionless,1,user_defined
beta,dimensionless,2,user_defined
A_aov,m2,0.0004775864,biobeat_measurement
R_aortic_root,Js_per_m6,1.0e6,to_be_identified
C_aortic_root,m6_per_J,1.2028e-08,to_be_identified
u_ext_aortic_root,J_per_m3,0.0,user_defined
I_aortic_root,Js2_per_m6,1.0e+4,to_be_identified
R_T_systemic,Js_per_m6,115400000.0,to_be_identified
C_T_systemic,m6_per_J,2e-8,small_chosen
u_ext_systemic,J_per_m3,0.0,user_defined
R_venous_svc,Js_per_m6,1114600.0,small_chosen
C_venous_svc,m6_per_J,2e-6,to_be_identified
u_ext_venous_svc,J_per_m3,0.0,user_defined
I_venous_svc,Js2_per_m6,1.0e-3,small_chosen
q_us_0_venous_svc,m3,0.0,user_defined
Delta_q_us_venous_svc,m3,0.0,user_defined
