variable_name,units,value,data_reference
rho,Js2_per_m5,1050,heart
T,second,1,heart
q_ra_0,m3,4E-06,heart
q_rv_0,m3,1E-05,heart
q_la_0,m3,4E-06,heart
q_lv_0,m3,5E-06,heart
T_ac,second,0.17,heart
T_ar,second,0.17,heart
t_astart,second,0.8,heart
T_vc,second,0.34,heart
T_vr,second,0.15,heart
t_vstart,second,0,heart
E_ra_A,J_per_m6,7998000,heart
E_ra_B,J_per_m6,9331000,heart
E_rv_A,J_per_m6,73315000,heart
E_rv_B,J_per_m6,6665000,heart
E_la_A,J_per_m6,9331000,heart
E_la_B,J_per_m6,11997000,heart
E_lv_A,J_per_m6,366575000,heart
E_lv_B,J_per_m6,10664000,heart
K_vo_trv,m3_per_Js,0.3,heart
K_vo_puv,m3_per_Js,0.2,heart
K_vo_miv,m3_per_Js,0.3,heart
K_vo_aov,m3_per_Js,0.12,heart
K_vc_trv,m3_per_Js,0.4,heart
K_vc_puv,m3_per_Js,0.2,heart
K_vc_miv,m3_per_Js,0.4,heart
K_vc_aov,m3_per_Js,0.12,heart
M_rg_trv,dimensionless,0,heart
M_rg_puv,dimensionless,0,heart
M_rg_miv,dimensionless,0,heart
M_rg_aov,dimensionless,0,heart
M_st_trv,dimensionless,1,heart
M_st_puv,dimensionless,1,heart
M_st_miv,dimensionless,1,heart
M_st_aov,dimensionless,1,heart
l_eff,metre,0.01,heart
A_nn_trv,m2,0.0008,heart
A_nn_puv,m2,0.00071,heart
A_nn_miv,m2,0.00077,heart
A_nn_aov,m2,0.00068,heart
E_ascending_aorta_C0,J_per_m3,400000,systemic
l_ascending_aorta_C0,metre,0.014796,systemic
r_ascending_aorta_C0,metre,0.0145305,systemic
theta_ascending_aorta_C0,dimensionless,0,systemic
beta_g,dimensionless,0,systemic
mu,Js_per_m3,0.004,systemic
g,m_per_s2,9.81,systemic
a_vessel,dimensionless,0.2802,systemic
b_vessel,per_m,-505.3,systemic
c_vessel,dimensionless,0.1324,systemic
d_vessel,per_m,-11.14,systemic
E_aortic_arch_C2,J_per_m3,400000,systemic
l_aortic_arch_C2,metre,0.014796,systemic
r_aortic_arch_C2,metre,0.0133364,systemic
theta_aortic_arch_C2,dimensionless,90,systemic
E_brachiocephalic_trunk_C4,J_per_m3,400000,systemic
l_brachiocephalic_trunk_C4,metre,0.0473822,systemic
r_brachiocephalic_trunk_C4,metre,0.00641887,systemic
theta_brachiocephalic_trunk_C4,dimensionless,0,systemic
E_aortic_arch_C46,J_per_m3,400000,systemic
l_aortic_arch_C46,metre,0.00960849,systemic
r_aortic_arch_C46,metre,0.0127671,systemic
theta_aortic_arch_C46,dimensionless,90,systemic
E_aortic_arch_C64,J_per_m3,400000,systemic
l_aortic_arch_C64,metre,0.00697955,systemic
r_aortic_arch_C64,metre,0.0124288,systemic
theta_aortic_arch_C64,dimensionless,90,systemic
E_aortic_arch_C94,J_per_m3,400000,systemic
l_aortic_arch_C94,metre,0.0432111,systemic
r_aortic_arch_C94,metre,0.0117401,systemic
theta_aortic_arch_C94,dimensionless,90,systemic
E_thoracic_aorta_C96,J_per_m3,400000,systemic
l_thoracic_aorta_C96,metre,0.00989803,systemic
r_thoracic_aorta_C96,metre,0.0104579,systemic
theta_thoracic_aorta_C96,dimensionless,180,systemic
E_thoracic_aorta_C100,J_per_m3,400000,systemic
l_thoracic_aorta_C100,metre,0.00788038,systemic
r_thoracic_aorta_C100,metre,0.0102897,systemic
theta_thoracic_aorta_C100,dimensionless,180,systemic
E_thoracic_aorta_C104,J_per_m3,400000,systemic
l_thoracic_aorta_C104,metre,0.0155561,systemic
r_thoracic_aorta_C104,metre,0.0100681,systemic
theta_thoracic_aorta_C104,dimensionless,180,systemic
E_thoracic_aorta_C108,J_per_m3,400000,systemic
l_thoracic_aorta_C108,metre,0.00532705,systemic
r_thoracic_aorta_C108,metre,0.00987279,systemic
theta_thoracic_aorta_C108,dimensionless,180,systemic
E_thoracic_aorta_C112,J_per_m3,400000,systemic
l_thoracic_aorta_C112,metre,0.121566,systemic
r_thoracic_aorta_C112,metre,0.00847543,systemic
theta_thoracic_aorta_C112,dimensionless,180,systemic
E_abdominal_aorta_C114,J_per_m3,400000,systemic
l_abdominal_aorta_C114,metre,0.00324767,systemic
r_abdominal_aorta_C114,metre,0.00751533,systemic
theta_abdominal_aorta_C114,dimensionless,180,systemic
E_abdominal_aorta_C136,J_per_m3,400000,systemic
l_abdominal_aorta_C136,metre,0.0139886,systemic
r_abdominal_aorta_C136,metre,0.00742666,systemic
theta_abdominal_aorta_C136,dimensionless,180,systemic
E_abdominal_aorta_C164,J_per_m3,400000,systemic
l_abdominal_aorta_C164,metre,0.00431913,systemic
r_abdominal_aorta_C164,metre,0.00729199,systemic
theta_abdominal_aorta_C164,dimensionless,180,systemic
E_abdominal_aorta_C176,J_per_m3,400000,systemic
l_abdominal_aorta_C176,metre,0.0119773,systemic
r_abdominal_aorta_C176,metre,0.00718902,systemic
theta_abdominal_aorta_C176,dimensionless,180,systemic
E_abdominal_aorta_C188,J_per_m3,400000,systemic
l_abdominal_aorta_C188,metre,0.0540907,systemic
r_abdominal_aorta_C188,metre,0.00679934,systemic
theta_abdominal_aorta_C188,dimensionless,180,systemic
E_abdominal_aorta_C192,J_per_m3,400000,systemic
l_abdominal_aorta_C192,metre,0.042231,systemic
r_abdominal_aorta_C192,metre,0.00612422,systemic
theta_abdominal_aorta_C192,dimensionless,180,systemic
R_T_posterior_intercostal_T1_R98,Js_per_m6,22580900000,systemic
C_T_posterior_intercostal_T1_R98,m6_per_J,2.2736E-12,systemic
R_T_posterior_intercostal_T1_L102,Js_per_m6,23166100000,systemic
C_T_posterior_intercostal_T1_L102,m6_per_J,2.2162E-12,systemic
R_T_posterior_intercostal_T2_R106,Js_per_m6,21067800000,systemic
C_T_posterior_intercostal_T2_R106,m6_per_J,2.4369E-12,systemic
R_T_posterior_intercostal_T2_L110,Js_per_m6,21248300000,systemic
C_T_posterior_intercostal_T2_L110,m6_per_J,2.4162E-12,systemic
E_celiac_trunk_C116,J_per_m3,400000,systemic
l_celiac_trunk_C116,metre,0.0169374,systemic
r_celiac_trunk_C116,metre,0.00329653,systemic
theta_celiac_trunk_C116,dimensionless,90,systemic
E_splenic_T2_C118,J_per_m3,400000,systemic
l_splenic_T2_C118,metre,0.0039576,systemic
r_splenic_T2_C118,metre,0.00216682,systemic
theta_splenic_T2_C118,dimensionless,90,systemic
R_T_left_gastric_T3_C120,Js_per_m6,31125100000,systemic
C_T_left_gastric_T3_C120,m6_per_J,1.6495E-12,systemic
E_splenic_T2_C122,J_per_m3,400000,systemic
l_splenic_T2_C122,metre,0.00279812,systemic
r_splenic_T2_C122,metre,0.00216682,systemic
theta_splenic_T2_C122,dimensionless,90,systemic
R_T_dorsal_pancreatic_T1_C124,Js_per_m6,16631300000,systemic
C_T_dorsal_pancreatic_T1_C124,m6_per_J,1.5055E-11,systemic
R_T_splenic_T2_C126,Js_per_m6,429028000,systemic
C_T_splenic_T2_C126,m6_per_J,1.1967E-10,systemic
E_common_hepatic_C128,J_per_m3,400000,systemic
l_common_hepatic_C128,metre,0.0693076,systemic
r_common_hepatic_C128,metre,0.00268614,systemic
theta_common_hepatic_C128,dimensionless,90,systemic
E_hepatic_artery_proper_C130,J_per_m3,400000,systemic
l_hepatic_artery_proper_C130,metre,0.0168059,systemic
r_hepatic_artery_proper_C130,metre,0.00177555,systemic
