name,BC_type,vessel_type,inp_vessels,out_vessels
heart,vp, heart,venous_ivc                                        venous_svc,   ascending_aorta_C0 
ascending_aorta_C0,vv,arterial,heart,aortic_arch_C2
aortic_arch_C2,pv,split_junction,ascending_aorta_C0,brachiocephalic_trunk_C4        aortic_arch_C46
brachiocephalic_trunk_C4,pv,split_junction,aortic_arch_C2,common_carotid_R6        subclavian_R28
aortic_arch_C46,pv,split_junction,aortic_arch_C2,aortic_arch_C64        common_carotid_L48
aortic_arch_C64,pv,split_junction,aortic_arch_C46,aortic_arch_C94         subclavian_L66
aortic_arch_C94,pv,arterial,aortic_arch_C64,thoracic_aorta_C96
thoracic_aorta_C96,pv,split_junction,aortic_arch_C94,thoracic_aorta_C100          posterior_intercostal_T1_R98_T
thoracic_aorta_C100,pv,split_junction,thoracic_aorta_C96,thoracic_aorta_C104          posterior_intercostal_T1_L102_T
thoracic_aorta_C104,pv,split_junction,thoracic_aorta_C100,thoracic_aorta_C108          posterior_intercostal_T2_R106_T
thoracic_aorta_C108,pv,split_junction,thoracic_aorta_C104,thoracic_aorta_C112          posterior_intercostal_T2_L110_T
thoracic_aorta_C112,pv,arterial,thoracic_aorta_C108,abdominal_aorta_C114
abdominal_aorta_C114,pv,split_junction,thoracic_aorta_C112,abdominal_aorta_C136           celiac_trunk_C116
abdominal_aorta_C136,pv,split_junction,abdominal_aorta_C114,abdominal_aorta_C164          superior_mesenteric_T4_C138
abdominal_aorta_C164,pv,split_junction,abdominal_aorta_C136,abdominal_aorta_C176          renal_L166
abdominal_aorta_C176,pv,split_junction,abdominal_aorta_C164,abdominal_aorta_C188          renal_R178
abdominal_aorta_C188,pv,split_junction,abdominal_aorta_C176,abdominal_aorta_C192          inferior_mesenteric_T5_C190_T
abdominal_aorta_C192,pv,split_junction,abdominal_aorta_C188,common_iliac_R216          common_iliac_L194
posterior_intercostal_T1_R98_T,pp,terminal,thoracic_aorta_C96,venous_lb
    posterior_intercostal_T1_L102_T,pp,terminal,thoracic_aorta_C100,venous_lb
    posterior_intercostal_T2_R106_T,pp,terminal,thoracic_aorta_C104,venous_lb
    posterior_intercostal_T2_L110_T,pp,terminal,thoracic_aorta_C108,venous_lb
celiac_trunk_C116,pv,split_junction,abdominal_aorta_C114,splenic_T2_C118          left_gastric_T3_C120_T
splenic_T2_C118,pv,split_junction,celiac_trunk_C116,splenic_T2_C122          dorsal_pancreatic_T1_C124_T
   left_gastric_T3_C120_T,pp,terminal,celiac_trunk_C116,venous_lb
splenic_T2_C122,pv,split_junction,splenic_T2_C118,splenic_T2_C126_T           common_hepatic_C128
    dorsal_pancreatic_T1_C124_T,pp,terminal,splenic_T2_C118, venous_lb
     splenic_T2_C126_T,pp,terminal,splenic_T2_C122,venous_lb
common_hepatic_C128,pv,arterial,splenic_T2_C122,hepatic_artery_proper_C130
hepatic_artery_proper_C130,pv,split_junction,common_hepatic_C128,hepatic_artery_proper_left_branch_C132_T          hepatic_artery_proper_right_branch_C134_T
   hepatic_artery_proper_left_branch_C132_T,pp,terminal,hepatic_artery_proper_C130,venous_lb
  hepatic_artery_proper_right_branch_C134_T,pp,terminal,hepatic_artery_proper_C130,venous_lb
superior_mesenteric_T4_C138,pv,split_junction,abdominal_aorta_C136,middle_colic_T8_C140_T          superior_mesenteric_T4_C142
   middle_colic_T8_C140_T,pp,terminal,superior_mesenteric_T4_C138,venous_lb
superior_mesenteric_T4_C142,pv,split_junction,superior_mesenteric_T4_C138,jejunal_3_T10_C144_T         superior_mesenteric_T4_C146
   jejunal_3_T10_C144_T,pp,terminal,superior_mesenteric_T4_C142,venous_lb
superior_mesenteric_T4_C146,pv,split_junction,superior_mesenteric_T4_C142,jejunal_6_T11_C148_T           superior_mesenteric_T4_C150
    jejunal_6_T11_C148_T,pp,terminal,superior_mesenteric_T4_C146,venous_lb
superior_mesenteric_T4_C150,pv,split_junction,superior_mesenteric_T4_C146,ileocolic_T9_C152_T           superior_mesenteric_T4_C154
    ileocolic_T9_C152_T,pp,terminal,superior_mesenteric_T4_C150,venous_lb
superior_mesenteric_T4_C154,pv,split_junction,superior_mesenteric_T4_C150,ileal_4_T12_C156_T           superior_mesenteric_T4_C158
    ileal_4_T12_C156_T  ,pp,terminal,superior_mesenteric_T4_C154,venous_lb
superior_mesenteric_T4_C158,pv,split_junction,superior_mesenteric_T4_C154,ileal_6_T13_C160_T           superior_mesenteric_T4_C162_T
   ileal_6_T13_C160_T,pp,terminal,superior_mesenteric_T4_C158,venous_lb
   superior_mesenteric_T4_C162_T,pp,terminal,superior_mesenteric_T4_C158,venous_lb
renal_L166,pv,split_junction,abdominal_aorta_C164,renal_anterior_branch_L168           renal_posterior_branch_T3_L174_T
renal_anterior_branch_L168,pv,split_junction,renal_L166,inferior_segmental_T5_L170_T           superior_segmental_T4_L172_T
  inferior_segmental_T5_L170_T,pp,terminal,renal_anterior_branch_L168,venous_lb
  superior_segmental_T4_L172_T,pp,terminal,renal_anterior_branch_L168,venous_lb
   renal_posterior_branch_T3_L174_T,pp,terminal,renal_L166, venous_lb
renal_R178,pv,split_junction,abdominal_aorta_C176,renal_anterior_branch_R180           renal_posterior_branch_T3_R186_T
renal_anterior_branch_R180,pv,split_junction,renal_R178,superior_segmental_T4_R182_T           inferior_segmental_T5_R184_T
   superior_segmental_T4_R182_T,pp,terminal,renal_anterior_branch_R180,venous_lb
   inferior_segmental_T5_R184_T,pp,terminal,renal_anterior_branch_R180,venous_lb
   renal_posterior_branch_T3_R186_T,pp,terminal,renal_R178,venous_lb
    inferior_mesenteric_T5_C190_T,pp,terminal,abdominal_aorta_C188,venous_lb
subclavian_R28,pv,split_junction,brachiocephalic_trunk_C4,subclavian_R30             vertebral_R272
subclavian_R30,pv,arterial,subclavian_R28,axillary_R32
axillary_R32,pv,arterial,subclavian_R30,brachial_R34
brachial_R34,pv,split_junction,axillary_R32,ulnar_T2_R36             radial_T1_R44_T
ulnar_T2_R36,pv,split_junction,brachial_R34,common_interosseous_R38             ulnar_T2_R42_T
common_interosseous_R38,pv,arterial,ulnar_T2_R36,posterior_interosseous_T3_R40_T
    posterior_interosseous_T3_R40_T,pp,terminal,common_interosseous_R38,venous_ub
  ulnar_T2_R42_T,pp,terminal,ulnar_T2_R36,venous_ub
  radial_T1_R44_T,pp,terminal,brachial_R34,venous_ub
subclavian_L66,pv,split_junction,aortic_arch_C64,subclavian_L78               vertebral_L2
subclavian_L78,pv,arterial,subclavian_L66,axillary_L80
axillary_L80,pv,arterial,subclavian_L78,brachial_L82
brachial_L82,pv,split_junction,axillary_L80,ulnar_T2_L84             radial_T1_L92_T
ulnar_T2_L84,pv,split_junction,brachial_L82,common_interosseous_L86            ulnar_T2_L90_T
