variable_name,units,value,data_reference
g_f_If,microS,0.00427,Fabbri_2017_Computational
blockade_If,dimensionless,0,user_defined
Km_f_If,millimolar,45,Fabbri_2017_Computational
alpha_If,dimensionless,0.5927,Fabbri_2017_Computational
Ko,millimolar,5.4,Fabbri_2017_Computational
y_shift_Ifg,millivolt,0,Fabbri_2017_Computational
cAMP_iter_Ifg,dimensionless,1,Fabbri_2017_Computational
y_init_Ifg,dimensionless,0.009508,Fabbri_2017_Computational
K_If_Ifg,millivolt,24.4,Linder_2024
K05_If_Ifg,uM,0.01733,Linder_2024
C_hrv,microF,0.000057,Fabbri_2017_Computational
V_init_hrv,millivolt,-47.787168,Fabbri_2017_Computational
clamp_mode_hrv,dimensionless,0,user_defined
R,joule_per_kilomole_kelvin,8314.472,Fabbri_2017_Computational
T,kelvin,310,Fabbri_2017_Computational
F,coulomb_per_mole,96485.3415,Fabbri_2017_Computational
PDE_cAMP_NES,uM,0,to_be_identified
ACCa_max_NES,nmol_per_umeter2,1,to_be_identified
Area_Ca_NES,umeter2,1,user_defined
EC50_Ca_NES,nM,8,to_be_identified
CaMKII_NES,nM,1,to_be_identified
AC2cAMP_conversion_NES,per_cmeter3,3.02,to_be_identified
M2_max_NES,nmol_per_umeter2,1,to_be_identified
Area_M2R_NES,umeter2,1,user_defined
IC50_M2_NES,nM,9.8,to_be_identified
k_M2bindGi_NES,dimensionless,0.99,Wollemann_1975
beta_ntotal_NES,nmol_per_umeter2,1,user_defined
k_beta1_NES,dimensionless,0.76,Parichatikanond_2024
K_beta2_NES,dimensionless,0.22,Parichatikanond_2024
Area_betaAR_NES,umeter2,1,user_defined
EC50_beta1_NES,nM,31.7,Konkar_2000
EC50_beta2_NES,nM,26.9,Baker_2010
IC50_beta2_NES,nM,4000,to_be_identified
k_b1coupleGs_NES,dimensionless,0.72,Wollemann_1975
PKA_init_NES,dimensionless,0,user_defined
T_PKAPbeta2_NES,dimensionless,0.7,user_defined
k_b2coupleGi_NES,dimensionless,0.99,Wollemann_1975
k_b2coupleGs_NES,dimensionless,0.99,Wollemann_1975
EC50_Gs_NES,nmole,0.65259044548,13_03_2025_identified
k_Gi_NES,dimensionless,1.160641236,13_03_2025_identified
AC_maxstimulated_NES,nmole,7.7,to_be_identified
T_cAMPPKA_NES,uM,25.87,Linder_2024
ACh_init_NES,nM,0,user_defined
