variable_name,units,value,data_reference
v_1_input_flow_basilar,m3_per_s,3.1E-06,user_defined
v_2_input_flow_basilar,m3_per_s,3.1E-06,user_defined
v_input_flow_internalcarotid_L,m3_per_s,3.1E-06,user_defined
v_input_flow_internalcarotid_R,m3_per_s,3.1E-06,user_defined
E_ascending_aorta_A,J_per_m3,400000,ADAN_86
l_ascending_aorta_A,metre,0.0153234,ADAN_86
r_0_ascending_aorta_A,metre,0.015642,ADAN_86
u_0_ascending_aorta_A,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_ascending_aorta_A,dimensionless,0,defined_by_user
u_ext_ascending_aorta_A,J_per_m3,0.0,user_defined
beta_g,dimensionless,0,defined_by_user
rho,Js2_per_m5,1050,known
mu,Js_per_m3,0.004,defined_by_user
g,m_per_s2,9.81,defined_by_user
a_vessel,dimensionless,0.2802,defined_by_user
b_vessel,per_m,-505.3,defined_by_user
c_vessel,dimensionless,0.1324,defined_by_user
d_vessel,per_m,-11.14,defined_by_user
E_ascending_aorta_B,J_per_m3,400000,ADAN_86
l_ascending_aorta_B,metre,0.014796,ADAN_86
r_0_ascending_aorta_B,metre,0.01508,ADAN_86
u_0_ascending_aorta_B,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_ascending_aorta_B,dimensionless,0,defined_by_user
u_ext_ascending_aorta_B,J_per_m3,0.0,user_defined
E_internal_carotid_R8,J_per_m3,800000,EMPTY_MUST_BE_FILLED
l_internal_carotid_R8,metre,0.135108,EMPTY_MUST_BE_FILLED
r_0_internal_carotid_R8,metre,0.00254,EMPTY_MUST_BE_FILLED
u_0_internal_carotid_R8,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_internal_carotid_R8,dimensionless,0,EMPTY_MUST_BE_FILLED
u_ext_internal_carotid_R8,J_per_m3,0.0,user_defined
E_internal_carotid_L50,J_per_m3,800000,EMPTY_MUST_BE_FILLED
l_internal_carotid_L50,metre,0.135108,EMPTY_MUST_BE_FILLED
r_0_internal_carotid_L50,metre,0.00254,EMPTY_MUST_BE_FILLED
u_0_internal_carotid_L50,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_internal_carotid_L50,dimensionless,0,EMPTY_MUST_BE_FILLED
u_ext_internal_carotid_L50,J_per_m3,0.0,user_defined
E_anterior_cerebral_L110,J_per_m3,1600000,ADAN_218
l_anterior_cerebral_L110,metre,0.0105951,ADAN_218
r_0_anterior_cerebral_L110,metre,0.000965045,ADAN_218
u_0_anterior_cerebral_L110,J_per_m3,10.64e3,AssumedRefOf80mmHg
u_ext_anterior_cerebral_L110,J_per_m3,0.0,user_defined
theta_anterior_cerebral_L110,dimensionless,90,defined_by_user
E_anterior_cerebral_L38,J_per_m3,1600000,ADAN_218
l_anterior_cerebral_L38,metre,0.02809,ADAN_218
r_0_anterior_cerebral_L38,metre,0.000965045,ADAN_218
