variable_name,units,value,data_reference
R_par,Js_per_m6,13660000.0,calc_from_user_assumptions
C_par,m6_per_J,3.09E-10,to_be_identified
u_ext_par,J_per_m3,0,user_defined
I_par,Js2_per_m6,1.00E-06,Blanco_2013_Table_8
R_pcap,Js_per_m6,1.00E-12,small_chosen
C_pcap,m6_per_J,1.00E-12,small_chosen
u_ext_pcap,J_per_m3,0,user_defined
I_pcap,Js2_per_m6,1.00E-06,small_chosen
q_0_pulmonary_GE,m3,2.00E-03,user_defined
k_O2_pulmonary_GE,m6_per_Js,1.7e-8,Albanese2016
k_CO2_pulmonary_GE,m6_per_Js,4.9e-7,Albanese2016
overcap_solubility,J_per_m3,10000000000.0,user_defined_for_numerical_stability
saturation_cap,dimensionless,0.9999,user_defined_for_numerical_stability
C_CO2_p_init_pulmonary_GE,dimensionless,0.48,user_defined
C_O2_p_init_pulmonary_GE,dimensionless,0.20,user_defined
shunt_fraction_pulmonary_GE,dimensionless,0.017,GuytonAndHall2006
k_1,J_per_m3,1998.5,Spencer1979
k_2,J_per_m3,25917.4,Spencer1979
h_1,dimensionless,0.3836,Spencer1979
h_2,dimensionless,1.819,Spencer1979
alpha_1,m3_per_J,2.40E-04,Spencer1979
alpha_2,m3_per_J,4.19E-04,Spencer1979
beta_1,m3_per_J,6.21E-05,Spencer1979
beta_2,m3_per_J,2.44E-04,Spencer1979
C_O2_sat,dimensionless,0.20448,Spencer1979
C_CO2_sat,dimensionless,1.9564,Spencer1979
F_O2_i_respiratory_gt,dimensionless,0.21,WestPulmonaryPhysiology2008
F_CO2_i_respiratory_gt,dimensionless,0.000421,WestPulmonaryPhysiology2008
F_O2_D_init_respiratory_gt,dimensionless,0.17,user_defined
F_CO2_D_init_respiratory_gt,dimensionless,0.03,user_defined
F_O2_A_init_respiratory_gt,dimensionless,0.17,user_defined
F_CO2_A_init_respiratory_gt,dimensionless,0.04,user_defined
K_LOSSES_respiratory_gt,dimensionless,1,Changed_from_1.2103_from_WestPulmonaryPhysiology2008
P_atm,J_per_m3,101300,known
P_ws,J_per_m3,6266.15,WestPulmonaryPhysiology2008
flag_RR_control_lung,dimensionless,1.0,Albanese2016
flag_P_mus_control_lung,dimensionless,1.0,Albanese2016
P_mus_min_lung,J_per_m3,-980,Albanese2016_-980_in_this_formulation_is_-490_in_Albanese
P_plEE_lung,J_per_m3,-490,WestPulmonaryPhysiology2008
