name,BC_type,vessel_type,inp_vessels,out_vessels
heart,vp,heart,venous_ivc venous_svc,A_aorta_ascending_1    
A_aorta_ascending_1,vv_nonlinear_visco,arterial,heart                 ,A_aorta_ascending_2 K_tube_A_aorta_ascending_1
A_aorta_ascending_2,pv_nonlinear_visco,arterial,A_aorta_ascending_1,A_aorta_ascending_3 K_tube_A_aorta_ascending_2
A_aorta_ascending_3,pv_nonlinear_visco,arterial,A_aorta_ascending_2     ,A_aorta_ascending_4 K_tube_A_aorta_ascending_3  
A_aorta_ascending_4,pv_nonlinear_visco,arterial,A_aorta_ascending_3     ,A_aortic_arch_1 K_tube_A_aorta_ascending_4    
A_aortic_arch_1,pv_nonlinear_visco,split_junction,A_aorta_ascending_4     ,A_aortic_arch_2 A_brachiocephalic_trunk K_tube_A_aortic_arch_1
A_aortic_arch_2,pv_nonlinear_visco,split_junction,A_aortic_arch_1        ,A_aortic_arch_3 A_common_carotid_L K_tube_A_aortic_arch_2
A_aortic_arch_3,pv_nonlinear_visco,split_junction,A_aortic_arch_2       ,A_aortic_arch_4 A_subclavian_L K_tube_A_aortic_arch_3
A_brachiocephalic_trunk,pv_nonlinear_visco,split_junction,A_aortic_arch_1        ,A_common_carotid_R A_subclavian_R K_tube_A_brachiocephalic_trunk
A_common_carotid_L,pv_nonlinear_visco,arterial,A_aortic_arch_2       ,head_L_T K_tube_A_common_carotid_L            
A_common_carotid_R,pv_nonlinear_visco,arterial,A_brachiocephalic_trunk  ,head_R_T K_tube_A_common_carotid_R     
A_subclavian_L,pv_nonlinear_visco,split_junction,A_aortic_arch_3       ,A_axillary_L arm_L_T K_tube_A_subclavian_L          
A_subclavian_R,pv_nonlinear_visco,arterial,A_brachiocephalic_trunk  ,arm_R_T K_tube_A_subclavian_R     
head_L_T,pp,arterial_simple_novisco,A_common_carotid_L  ,venous_head_L_T
head_R_T,pp,arterial_simple_novisco,A_common_carotid_R   ,venous_head_R_T
arm_L_T,pp,arterial_simple_novisco,A_subclavian_L        ,venous_arm_L_T
arm_R_T,pp,arterial_simple_novisco,A_subclavian_R        ,venous_arm_R_T
A_aortic_arch_4,pv_nonlinear_visco,arterial,A_aortic_arch_3       ,A_aorta_thoracic_1 K_tube_A_aortic_arch_4
A_aorta_thoracic_1,pv_nonlinear_visco,arterial,A_aortic_arch_4       ,A_aorta_thoracic_2 K_tube_A_aorta_thoracic_1
A_aorta_thoracic_2,pv_nonlinear_visco,arterial,A_aorta_thoracic_1    ,A_aorta_thoracic_3 K_tube_A_aorta_thoracic_2 
A_aorta_thoracic_3,pv_nonlinear_visco,arterial,A_aorta_thoracic_2   ,A_aorta_thoracic_4 K_tube_A_aorta_thoracic_3  
A_aorta_thoracic_4,pv_nonlinear_visco,arterial,A_aorta_thoracic_3   ,A_aorta_thoracic_5 K_tube_A_aorta_thoracic_4
A_aorta_thoracic_5,pv_nonlinear_visco,arterial,A_aorta_thoracic_4   ,A_aorta_abdominal_1 K_tube_A_aorta_thoracic_5 
A_aorta_abdominal_1,pv_nonlinear_visco,split_junction,A_aorta_thoracic_5   ,A_aorta_abdominal_2 trunk_C_T K_tube_A_aorta_abdominal_1
trunk_C_T,pp,arterial_simple_novisco,A_aorta_abdominal_1  ,venous_trunk_C_T
A_aorta_abdominal_2,pv_nonlinear_visco,arterial,A_aorta_abdominal_1  ,A_aorta_abdominal_3 K_tube_A_aorta_abdominal_2
