variable_name,units,value,data_reference
AA_arterial_chemoreceptor,dimensionless,600,Magosso2001AndUrsino2000
A_0_inlet,m3_per_s,8.00e-5,user_defined
A_1_inlet,m3_per_s,1.73e-4,user_defined
A_2_inlet,m3_per_s,9.06e-5,user_defined
A_3_inlet,m3_per_s,5.13e-5,user_defined
A_4_inlet,m3_per_s,9.16e-6,user_defined
A_5_inlet,m3_per_s,9.50e-6,user_defined
A_6_inlet,m3_per_s,1.42e-5,user_defined
A_7_inlet,m3_per_s,7.33e-7,user_defined
A_8_inlet,m3_per_s,5.00e-6,user_defined
A_aov,m2,0.0001720229,biobeat_measurement
A_b_lc,dimensionless,20.9,Magosso2001AndUrsino2000
A_nn_aov,m2,0.00068,Mynard_2012
A_nn_miv,m2,0.00077,Mynard_2012
A_nn_puv,m2,0.00071,Mynard_2012
A_nn_trv,m2,0.0008,Mynard_2012
BB_arterial_chemoreceptor,dimensionless,10.18,Magosso2001AndUrsino2000
B_b_lc,dimensionless,92.8,Magosso2001AndUrsino2000
C_A_lung,J_per_m6,2.0408e-6,YasuhiroFukui1972
C_CO2_a_nom_arterial_chemoreceptor,dimensionless,0.36,Magosso2001AndUrsino2000
C_CO2_sat,dimensionless,1.9564,Spencer1979
C_L_connector_A,m6_per_J,1e-10,to_be_identified
C_L_connector_V,m6_per_J,1e-10,to_be_identified
C_O2_sat,dimensionless,0.20448,Spencer1979
C_O2_vb_nom,dimensionless,0.14,Magosso2001AndUrsino2000
C_O2_vm_nom,dimensionless,0.155,Magosso2001AndUrsino2000
C_PV_heart_connector,m6_per_J,1e-9,small_chosen
C_T_LLL,m6_per_J,1.0575e-07,26_04_2023_identified
C_T_LUL,m6_per_J,7.4809e-07,26_04_2023_identified
C_T_RLL,m6_per_J,4.7046e-07,26_04_2023_identified
C_T_RML,m6_per_J,2.8872e-07,26_04_2023_identified
C_T_RUL,m6_per_J,2.0163e-08,26_04_2023_identified
C_T_anterior_cerebral_L,m6_per_J,10e-12,to_be_identified
C_T_anterior_cerebral_R,m6_per_J,10e-12,to_be_identified
C_T_arm_L,m6_per_J,100e-12,to_be_identified
C_T_arm_R,m6_per_J,100e-12,to_be_identified
C_T_external_carotid_L,m6_per_J,60.105e-12,to_be_identified
C_T_external_carotid_R,m6_per_J,60.317e-12,to_be_identified
C_T_leg_L,m6_per_J,400e-12,to_be_identified
C_T_leg_R,m6_per_J,400e-12,to_be_identified
C_T_middle_cerebral_L,m6_per_J,10e-12,to_be_identified
C_T_middle_cerebral_R,m6_per_J,10e-12,to_be_identified
C_T_posterior_cerebral_L,m6_per_J,10e-12,to_be_identified
C_T_posterior_cerebral_R,m6_per_J,10e-12,to_be_identified
C_T_trunk_C,m6_per_J,4e-9,to_be_identified
C_b_lc,dimensionless,10570,Magosso2001AndUrsino2000
C_b_lung,J_per_m6,1.3367e-6,YasuhiroFukui1972
C_inlet_connector,m6_per_J,1e-9,small_chosen
C_l_lung,J_per_m6,1.2959e-8,YasuhiroFukui1972
C_par,m6_per_J,0.0309077e-8,to_be_identified
C_pcap,m6_per_J,1.0e-12,small_chosen
C_pl_lung,J_per_m6,2.5e-6,user_defined_to_be_identified
C_pvn,m6_per_J,0.60015e-8,to_be_identified
C_t_lung,J_per_m6,2.4286e-8,YasuhiroFukui1972
C_venous_ivc,m6_per_J,5.0e-7,to_be_identified
C_venous_lb,m6_per_J,5.0e-7,to_be_identified
C_venous_svc,m6_per_J,5.0e-7,to_be_identified
C_venous_ub,m6_per_J,5.0e-7,to_be_identified
D_b_lc,dimensionless,-5.2551,Magosso2001AndUrsino2000
Delta_R_anterior_cerebral_L,Js_per_m6,0.0,user_defined
Delta_R_anterior_cerebral_R,Js_per_m6,0.0,user_defined
Delta_R_external_carotid_L,Js_per_m6,0.0,user_defined
Delta_R_external_carotid_R,Js_per_m6,0.0,user_defined
Delta_R_middle_cerebral_L,Js_per_m6,0.0,user_defined
