variable_name,units,comp_env,value,data_reference
C_par,m6_per_J,pulmonary,0.0309077e-8,to_be_identified
C_pvn,m6_per_J,pulmonary,0.60015e-8,to_be_identified
R_par,Js_per_m6,pulmonary,10.664e+6,Blanco_2013_Table_8
R_pvn,Js_per_m6,pulmonary,1.333e+6,Blanco_2013_Table_8
I_par,Js2_per_m6,pulmonary,1.0e-6,Blanco_2013_Table_8
I_pvn,Js2_per_m6,pulmonary,1.0e-6,Blanco_2013_Table_8
T,second,heart,1.0,defined_by_user
t_ac,dimensionless,heart,0.80,Liang_2009_Table_2
t_ar,dimensionless,heart,0.97,Liang_2009_Table_2
T_ac,dimensionless,heart,0.17,Liang_2009_Table_2
T_ar,dimensionless,heart,0.17,Liang_2009_Table_2
T_vc,dimensionless,heart,0.34,Liang_2009_Table_2
T_vr,dimensionless,heart,0.15,Liang_2009_Table_2
CQ_trv,UnitValve,heart,34.6427e-6,Korakianitis_2006_Table_1
CQ_puv,UnitValve,heart,30.3124e-6,Korakianitis_2006_Table_1
CQ_miv,UnitValve,heart,34.6427e-6,Korakianitis_2006_Table_1
CQ_aov,UnitValve,heart,30.3124e-6,Korakianitis_2006_Table_1
E_ra_A,J_per_m6,heart,7.998e+6,Liang_2009_Table_2
E_ra_B,J_per_m6,heart,9.331e+6,Liang_2009_Table_2
E_rv_A,J_per_m6,heart,73.315e+6,Liang_2009_Table_2
E_rv_B,J_per_m6,heart,6.665e+6,Liang_2009_Table_2
E_la_A,J_per_m6,heart,9.331e+6,Liang_2009_Table_2
E_la_B,J_per_m6,heart,11.997e+6,Liang_2009_Table_2
E_lv_A,J_per_m6,heart,366.575e+6,Liang_2009_Table_2
E_lv_B,J_per_m6,heart,10.664e+6,Liang_2009_Table_2
q_ra_0,m3,heart,4.0e-6,Korakianitis_2006_Table_1
q_rv_0,m3,heart,10.0e-6,Korakianitis_2006_Table_1
q_la_0,m3,heart,4.0e-6,Korakianitis_2006_Table_1
q_lv_0,m3,heart,5.0e-6,Korakianitis_2006_Table_1
alpha_leg_L,dimensionless,systemic,1.0,ANS_control_param
