name,BC_type,vessel_type,inp_vessels,out_vessels
lung_stretch, nn, lung_stretch_receptor_Gee2023, , sympathetic_afferent NTS
baroreceptor, nn, baroreceptor, , sympathetic_afferent NTS LCN
cardiopulm_receptor, nn, cardiopulmonary_receptor_Gee2023, , sympathetic_afferent NTS LCN
sympathetic_afferent, nn, sympathetic_afferent_Gee2023, lung_stretch baroreceptor cardiopulm_receptor , sympathetic_efferent 
sympathetic_efferent, nn, sympathetic_efferent_Gee2023, sympathetic_afferent, peripheral_effector_arms venous_volume_effector_lb LCN heart_effector_T heart_effector_Elv heart_effector_Erv
NTS, nn, NTS_Gee2023, lung_stretch baroreceptor cardiopulm_receptor , DMV NA
DMV, nn, DMV_Gee2023, NTS, LCN PNDMV
NA, nn, NA_Gee2023, NTS, NActr PNNA
NActr, nn, NActr_Gee2023, NA, LCN PNDMV
LCN, nn, LCN_Gee2023, DMV NActr baroreceptor sympathetic_efferent cardiopulm_receptor, PNNA PNDMV
PNNA, nn, PNNA_Gee2023, NA LCN, heart_effector_T
PNDMV, nn, PNDMV_Gee2023, DMV NActr LCN, heart_effector_Elv heart_effector_Erv
heart_effector_T, nn, efferent_heart_period_effector, sympathetic_efferent PNNA, 
heart_effector_Elv, nn_lv, heart_effector_Gee2023, sympathetic_efferent PNDMV, 
heart_effector_Erv, nn_rv, heart_effector_Gee2023, sympathetic_efferent PNDMV, 
peripheral_effector_arms, nn, peripheral_resistance_effector_Gee2023, sympathetic_efferent, 
venous_volume_effector_lb, nn, unstressed_volume_effector_Gee2023, sympathetic_efferent, 
