environment | t (second),environment | V_mem (volt),environment | v_R1 (fmol_per_sec)
0,-0.12,13.662
0.1,-0.1199,13.6971
0.2,-0.1198,13.7317
0.3,-0.1197,13.7663
0.4,-0.1196,13.801
0.5,-0.1195,13.8357
0.6,-0.1194,13.8705
0.7,-0.1193,13.9053
0.8,-0.1192,13.9402
0.9,-0.1191,13.9751
1,-0.119,14.0101
1.1,-0.1189,14.0451
1.2,-0.1188,14.0802
1.3,-0.1187,14.1154
1.4,-0.1186,14.1505
1.5,-0.1185,14.1858
1.6,-0.1184,14.2211
1.7,-0.1183,14.2565
1.8,-0.1182,14.2919
1.9,-0.1181,14.3273
2,-0.118,14.3628
2.1,-0.1179,14.3984
2.2,-0.1178,14.434
2.3,-0.1177,14.4697
2.4,-0.1176,14.5054
2.5,-0.1175,14.5412
2.6,-0.1174,14.577
2.7,-0.1173,14.6128
2.8,-0.1172,14.6488
2.9,-0.1171,14.6847
3,-0.117,14.7208
3.1,-0.1169,14.7568
3.2,-0.1168,14.793
3.3,-0.1167,14.8292
3.4,-0.1166,14.8654
3.5,-0.1165,14.9017
3.6,-0.1164,14.938
3.7,-0.1163,14.9744
3.8,-0.1162,15.0108
3.9,-0.1161,15.0473
4,-0.116,15.0838
4.1,-0.1159,15.1204
4.2,-0.1158,15.157
4.3,-0.1157,15.1937
4.4,-0.1156,15.2304
4.5,-0.1155,15.2672
4.6,-0.1154,15.304
4.7,-0.1153,15.3409
4.8,-0.1152,15.3778
4.9,-0.1151,15.4148
5,-0.115,15.4518
5.1,-0.1149,15.4889
5.2,-0.1148,15.526
5.3,-0.1147,15.5632
5.4,-0.1146,15.6004
5.5,-0.1145,15.6377
5.6,-0.1144,15.675
5.7,-0.1143,15.7123
5.8,-0.1142,15.7497
5.9,-0.1141,15.7872
6,-0.114,15.8247
6.1,-0.1139,15.8622
6.2,-0.1138,15.8998
6.3,-0.1137,15.9375
6.4,-0.1136,15.9752
6.5,-0.1135,16.0129
6.6,-0.1134,16.0507
6.7,-0.1133,16.0885
6.8,-0.1132,16.1264
6.9,-0.1131,16.1643
7,-0.113,16.2023
7.1,-0.1129,16.2403
7.2,-0.1128,16.2784
7.3,-0.1127,16.3165
7.4,-0.1126,16.3547
7.5,-0.1125,16.3929
7.6,-0.1124,16.4311
7.7,-0.1123,16.4694
7.8,-0.1122,16.5077
7.9,-0.1121,16.5461
8,-0.112,16.5845
8.1,-0.1119,16.623
8.2,-0.1118,16.6615
8.3,-0.1117,16.7001
8.4,-0.1116,16.7387
8.5,-0.1115,16.7773
8.6,-0.1114,16.816
8.7,-0.1113,16.8547
8.8,-0.1112,16.8935
8.9,-0.1111,16.9323
9,-0.111,16.9712
9.1,-0.1109,17.0101
9.2,-0.1108,17.0491
9.3,-0.1107,17.0881
9.4,-0.1106,17.1271
9.5,-0.1105,17.1662
9.6,-0.1104,17.2053
9.7,-0.1103,17.2445
9.8,-0.1102,17.2837
9.9,-0.1101,17.3229
10,-0.11,17.3622
10.1,-0.1099,17.4015
10.2,-0.1098,17.4409
10.3,-0.1097,17.4803
10.4,-0.1096,17.5198
10.5,-0.1095,17.5593
10.6,-0.1094,17.5988
10.7,-0.1093,17.6384
10.8,-0.1092,17.678
10.9,-0.1091,17.7177
11,-0.109,17.7573
11.1,-0.1089,17.7971
11.2,-0.1088,17.8369
11.3,-0.1087,17.8767
11.4,-0.1086,17.9165
11.5,-0.1085,17.9564
11.6,-0.1084,17.9964
11.7,-0.1083,18.0363
11.8,-0.1082,18.0763
11.9,-0.1081,18.1164
12,-0.108,18.1565
12.1,-0.1079,18.1966
12.2,-0.1078,18.2368
12.3,-0.1077,18.277
12.4,-0.1076,18.3172
12.5,-0.1075,18.3575
12.6,-0.1074,18.3978
12.7,-0.1073,18.4382
12.8,-0.1072,18.4786
12.9,-0.1071,18.519
13,-0.107,18.5594
13.1,-0.1069,18.5999
13.2,-0.1068,18.6405
13.3,-0.1067,18.681
13.4,-0.1066,18.7216
13.5,-0.1065,18.7623
13.6,-0.1064,18.8029
13.7,-0.1063,18.8437
13.8,-0.1062,18.8844
13.9,-0.1061,18.9252
14,-0.106,18.966
14.1,-0.1059,19.0068
14.2,-0.1058,19.0477
14.3,-0.1057,19.0886
14.4,-0.1056,19.1296
14.5,-0.1055,19.1706
14.6,-0.1054,19.2116
14.7,-0.1053,19.2526
14.8,-0.1052,19.2937
14.9,-0.1051,19.3348
15,-0.105,19.376
15.1,-0.1049,19.4172
15.2,-0.1048,19.4584
15.3,-0.1047,19.4996
15.4,-0.1046,19.5409
15.5,-0.1045,19.5822
15.6,-0.1044,19.6235
15.7,-0.1043,19.6649
15.8,-0.1042,19.7063
15.9,-0.1041,19.7478
16,-0.104,19.7892
16.1,-0.1039,19.8307
16.2,-0.1038,19.8722
16.3,-0.1037,19.9138
16.4,-0.1036,19.9554
16.5,-0.1035,19.997
16.6,-0.1034,20.0386
16.7,-0.1033,20.0803
16.8,-0.1032,20.122
16.9,-0.1031,20.1638
17,-0.103,20.2055
17.1,-0.1029,20.2473
17.2,-0.1028,20.2891
17.3,-0.1027,20.331
17.4,-0.1026,20.3729
17.5,-0.1025,20.4148
17.6,-0.1024,20.4567
17.7,-0.1023,20.4986
17.8,-0.1022,20.5406
17.9,-0.1021,20.5826
18,-0.102,20.6247
18.1,-0.1019,20.6667
18.2,-0.1018,20.7088
18.3,-0.1017,20.751
18.4,-0.1016,20.7931
18.5,-0.1015,20.8353
18.6,-0.1014,20.8775
18.7,-0.1013,20.9197
18.8,-0.1012,20.9619
18.9,-0.1011,21.0042
19,-0.101,21.0465
19.1,-0.1009,21.0888
19.2,-0.1008,21.1311
19.3,-0.1007,21.1735
19.4,-0.1006,21.2159
19.5,-0.1005,21.2583
19.6,-0.1004,21.3007
19.7,-0.1003,21.3432
19.8,-0.1002,21.3856
19.9,-0.1001,21.4281
20,-0.1,21.4707
20.1,-0.0999,21.5132
20.2,-0.0998,21.5558
20.3,-0.0997,21.5983
20.4,-0.0996,21.641
20.5,-0.0995,21.6836
20.6,-0.0994,21.7262
20.7,-0.0993,21.7689
20.8,-0.0992,21.8116
20.9,-0.0991,21.8543
21,-0.099,21.897
21.1,-0.0989,21.9398
21.2,-0.0988,21.9825
21.3,-0.0987,22.0253
21.4,-0.0986,22.0681
21.5,-0.0985,22.1109
21.6,-0.0984,22.1538
21.7,-0.0983,22.1966
21.8,-0.0982,22.2395
21.9,-0.0981,22.2824
22,-0.098,22.3253
22.1,-0.0979,22.3683
22.2,-0.0978,22.4112
22.3,-0.0977,22.4542
22.4,-0.0976,22.4972
22.5,-0.0975,22.5402
22.6,-0.0974,22.5832
22.7,-0.0973,22.6262
22.8,-0.0972,22.6693
22.9,-0.0971,22.7123
23,-0.097,22.7554
23.1,-0.0969,22.7985
23.2,-0.0968,22.8416
23.3,-0.0967,22.8847
23.4,-0.0966,22.9279
23.5,-0.0965,22.971
23.6,-0.0964,23.0142
23.7,-0.0963,23.0574
23.8,-0.0962,23.1005
23.9,-0.0961,23.1438
24,-0.096,23.187
24.1,-0.0959,23.2302
24.2,-0.0958,23.2735
24.3,-0.0957,23.3167
24.4,-0.0956,23.36
24.5,-0.0955,23.4033
24.6,-0.0954,23.4466
24.7,-0.0953,23.4899
24.8,-0.0952,23.5332
24.9,-0.0951,23.5765
25,-0.095,23.6199
25.1,-0.0949,23.6632
25.2,-0.0948,23.7066
25.3,-0.0947,23.7499
25.4,-0.0946,23.7933
25.5,-0.0945,23.8367
25.6,-0.0944,23.8801
25.7,-0.0943,23.9235
25.8,-0.0942,23.9669
25.9,-0.0941,24.0104
26,-0.094,24.0538
26.1,-0.0939,24.0972
26.2,-0.0938,24.1407
26.3,-0.0937,24.1841
26.4,-0.0936,24.2276
26.5,-0.0935,24.2711
26.6,-0.0934,24.3146
26.7,-0.0933,24.358
26.8,-0.0932,24.4015
26.9,-0.0931,24.445
27,-0.093,24.4885
27.1,-0.0929,24.532
27.2,-0.0928,24.5755
27.3,-0.0927,24.619
27.4,-0.0926,24.6626
27.5,-0.0925,24.7061
27.6,-0.0924,24.7496
27.7,-0.0923,24.7931
27.8,-0.0922,24.8367
27.9,-0.0921,24.8802
28,-0.092,24.9238
28.1,-0.0919,24.9673
28.2,-0.0918,25.0108
28.3,-0.0917,25.0544
28.4,-0.0916,25.098
28.5,-0.0915,25.1415
28.6,-0.0914,25.1851
28.7,-0.0913,25.2286
28.8,-0.0912,25.2722
28.9,-0.0911,25.3157
29,-0.091,25.3593
29.1,-0.0909,25.4029
29.2,-0.0908,25.4464
29.3,-0.0907,25.49
29.4,-0.0906,25.5336
29.5,-0.0905,25.5771
29.6,-0.0904,25.6207
29.7,-0.0903,25.6643
29.8,-0.0902,25.7078
29.9,-0.0901,25.7514
30,-0.09,25.795
30.1,-0.0899,25.8385
30.2,-0.0898,25.8821
30.3,-0.0897,25.9256
30.4,-0.0896,25.9692
30.5,-0.0895,26.0127
30.6,-0.0894,26.0563
30.7,-0.0893,26.0998
30.8,-0.0892,26.1434
30.9,-0.0891,26.1869
31,-0.089,26.2305
31.1,-0.0889,26.274
31.2,-0.0888,26.3176
31.3,-0.0887,26.3611
31.4,-0.0886,26.4046
31.5,-0.0885,26.4481
31.6,-0.0884,26.4917
31.7,-0.0883,26.5352
31.8,-0.0882,26.5787
31.9,-0.0881,26.6222
32,-0.088,26.6657
32.1,-0.0879,26.7092
32.2,-0.0878,26.7526
32.3,-0.0877,26.7961
32.4,-0.0876,26.8396
32.5,-0.0875,26.883
32.6,-0.0874,26.9265
32.7,-0.0873,26.9699
32.8,-0.0872,27.0134
32.9,-0.0871,27.0568
33,-0.087,27.1002
33.1,-0.0869,27.1437
33.2,-0.0868,27.1871
33.3,-0.0867,27.2305
33.4,-0.0866,27.2738
33.5,-0.0865,27.3172
33.6,-0.0864,27.3606
33.7,-0.0863,27.404
33.8,-0.0862,27.4473
33.9,-0.0861,27.4906
34,-0.086,27.534
34.1,-0.0859,27.5773
34.2,-0.0858,27.6206
34.3,-0.0857,27.6639
34.4,-0.0856,27.7072
34.5,-0.0855,27.7504
34.6,-0.0854,27.7937
34.7,-0.0853,27.8369
34.8,-0.0852,27.8802
34.9,-0.0851,27.9234
35,-0.085,27.9666
35.1,-0.0849,28.0098
35.2,-0.0848,28.053
35.3,-0.0847,28.0961
35.4,-0.0846,28.1393
35.5,-0.0845,28.1824
35.6,-0.0844,28.2256
35.7,-0.0843,28.2687
35.8,-0.0842,28.3118
35.9,-0.0841,28.3549
36,-0.084,28.3979
36.1,-0.0839,28.441
36.2,-0.0838,28.484
36.3,-0.0837,28.527
36.4,-0.0836,28.57
36.5,-0.0835,28.613
36.6,-0.0834,28.656
36.7,-0.0833,28.6989
36.8,-0.0832,28.7419
36.9,-0.0831,28.7848
37,-0.083,28.8277
37.1,-0.0829,28.8706
37.2,-0.0828,28.9134
37.3,-0.0827,28.9563
37.4,-0.0826,28.9991
37.5,-0.0825,29.0419
37.6,-0.0824,29.0847
37.7,-0.0823,29.1275
37.8,-0.0822,29.1703
37.9,-0.0821,29.213
38,-0.082,29.2557
38.1,-0.0819,29.2985
38.2,-0.0818,29.3411
38.3,-0.0817,29.3838
38.4,-0.0816,29.4265
38.5,-0.0815,29.4691
38.6,-0.0814,29.5117
38.7,-0.0813,29.5543
38.8,-0.0812,29.5969
38.9,-0.0811,29.6394
39,-0.081,29.6819
39.1,-0.0809,29.7244
39.2,-0.0808,29.7669
39.3,-0.0807,29.8094
39.4,-0.0806,29.8518
39.5,-0.0805,29.8942
39.6,-0.0804,29.9366
