time_s	pressure_mmHg
0.0000	80.00
0.0100	80.28
0.0200	81.11
0.0300	82.50
0.0400	84.44
0.0500	86.94
0.0600	90.00
0.0700	93.61
0.0800	97.78
0.0900	102.50
0.1000	107.78
0.1100	113.61
0.1200	120.00
0.1300	119.38
0.1400	118.75
0.1500	118.12
0.1600	117.50
0.1700	116.87
0.1800	116.25
0.1900	115.59
0.2000	114.59
0.2100	112.19
0.2200	110.06
0.2300	110.31
0.2400	110.81
0.2500	110.31
0.2600	109.49
0.2700	108.66
0.2800	107.85
0.2900	107.06
0.3000	106.30
0.3100	105.56
0.3200	104.84
0.3300	104.14
0.3400	103.46
0.3500	102.80
0.3600	102.16
0.3700	101.53
0.3800	100.93
0.3900	100.34
0.4000	99.77
0.4100	99.21
0.4200	98.67
0.4300	98.14
0.4400	97.63
0.4500	97.13
0.4600	96.65
0.4700	96.18
0.4800	95.73
0.4900	95.28
0.5000	94.85
0.5100	94.43
0.5200	94.03
0.5300	93.63
0.5400	93.25
0.5500	92.88
0.5600	92.51
0.5700	92.16
0.5800	91.82
0.5900	91.49
0.6000	91.16
0.6100	90.85
0.6200	90.54
0.6300	90.24
0.6400	89.96
0.6500	89.68
0.6600	89.40
0.6700	89.14
0.6800	88.88
0.6900	88.63
0.7000	88.39
0.7100	88.15
0.7200	87.92
0.7300	87.70
0.7400	87.48
0.7500	87.27
0.7600	87.07
0.7700	86.87
0.7800	86.67
0.7900	86.49
0.8000	86.30
0.8100	86.13
0.8200	85.95
0.8300	85.79
0.8400	85.62
0.8500	85.46
0.8600	85.31
0.8700	85.16
0.8800	85.02
0.8900	84.87
0.9000	84.74
0.9100	84.60
0.9200	84.47
0.9300	84.35
0.9400	84.23
0.9500	84.11
0.9600	83.99
0.9700	83.88
0.9800	83.77
0.9900	83.66
1.0000	83.56
